h_event_count_lo,h_event_count_hi,h_event_count_char_mean,h_event_count_char_std,h_event_count_char_sem,h_event_count_char_nEns,h_event_count_char_rvplan_mean,h_event_count_char_rvplan_std,h_event_count_char_rvplan_sem,h_event_count_char_rvplan_nEns,h_event_count_det_mean,h_event_count_det_std,h_event_count_det_sem,h_event_count_det_nEns,h_event_count_det_rvplan_mean,h_event_count_det_rvplan_std,h_event_count_det_rvplan_sem,h_event_count_det_rvplan_nEns,h_event_count_detp_mean,h_event_count_detp_std,h_event_count_detp_sem,h_event_count_detp_nEns,h_event_count_slew_mean,h_event_count_slew_std,h_event_count_slew_sem,h_event_count_slew_nEns
46,47,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.02,0.14070529413628963,0.014070529413628963,100,0.02,0.14070529413628963,0.014070529413628963,100,0.0,0.0,0.0,100
47,48,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.03,0.1714466079977654,0.01714466079977654,100,0.03,0.1714466079977654,0.01714466079977654,100,0.0,0.0,0.0,100
48,49,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.03,0.1714466079977652,0.017144660799776522,100,0.03,0.1714466079977652,0.017144660799776522,100,0.0,0.0,0.0,100
49,50,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100
50,51,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.03,0.17144660799776548,0.01714466079977655,100,0.03,0.17144660799776548,0.01714466079977655,100,0.0,0.0,0.0,100
51,52,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.03,0.17144660799776515,0.017144660799776515,100,0.03,0.17144660799776515,0.017144660799776515,100,0.0,0.0,0.0,100
52,53,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.03,0.17144660799776537,0.017144660799776536,100,0.03,0.17144660799776537,0.017144660799776536,100,0.0,0.0,0.0,100
53,54,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.02,0.14070529413628963,0.014070529413628963,100,0.02,0.14070529413628963,0.014070529413628963,100,0.0,0.0,0.0,100
54,55,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.02,0.1407052941362896,0.01407052941362896,100,0.02,0.1407052941362896,0.01407052941362896,100,0.0,0.0,0.0,100
55,56,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.02,0.14070529413628965,0.014070529413628966,100,0.02,0.14070529413628965,0.014070529413628966,100,0.0,0.0,0.0,100
56,57,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.02,0.1407052941362896,0.01407052941362896,100,0.02,0.1407052941362896,0.01407052941362896,100,0.0,0.0,0.0,100
57,58,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.01,0.09999999999999999,0.009999999999999998,100,0.01,0.09999999999999999,0.009999999999999998,100,0.0,0.0,0.0,100
58,59,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.04,0.19694638556693222,0.019694638556693223,100,0.04,0.19694638556693222,0.019694638556693223,100,0.0,0.0,0.0,100
59,60,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.03,0.17144660799776543,0.017144660799776543,100,0.03,0.17144660799776543,0.017144660799776543,100,0.0,0.0,0.0,100
60,61,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.01,0.09999999999999995,0.009999999999999995,100,0.01,0.09999999999999995,0.009999999999999995,100,0.0,0.0,0.0,100
61,62,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.01,0.09999999999999994,0.009999999999999993,100,0.01,0.09999999999999994,0.009999999999999993,100,0.0,0.0,0.0,100
62,63,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.02,0.1407052941362896,0.01407052941362896,100,0.02,0.1407052941362896,0.01407052941362896,100,0.0,0.0,0.0,100
63,64,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.02,0.14070529413628963,0.014070529413628963,100,0.02,0.14070529413628963,0.014070529413628963,100,0.0,0.0,0.0,100
64,65,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.03,0.1714466079977652,0.017144660799776522,100,0.03,0.1714466079977652,0.017144660799776522,100,0.0,0.0,0.0,100
65,66,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.04,0.1969463855669323,0.01969463855669323,100,0.04,0.1969463855669323,0.01969463855669323,100,0.0,0.0,0.0,100
66,67,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.03,0.17144660799776523,0.017144660799776522,100,0.03,0.17144660799776523,0.017144660799776522,100,0.0,0.0,0.0,100
67,68,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.02,0.14070529413628957,0.014070529413628957,100,0.02,0.14070529413628957,0.014070529413628957,100,0.0,0.0,0.0,100
68,69,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,100,0.02,0.14070529413628963,0.014070529413628963,100,0.02,0.14070529413628963,0.014070529413628963,100,0.0,0.0,0.0,100
