ensemble,obsnum,name,sind,pind,n_earth,n_success,is_success,is_deep,is_promo,WA,dMag,phi,char_SNR,MV
611229025,129,HIP 23311,181,0,1,1,1,0,1,99.24363002531994,24.271230615178577,0.2848236604140296,5.36081772653748,5.83728763823916
611229025,132,HIP 3821 A,33,0,2,2,1,0,1,37.11625531048679,33.24001111121966,0.0003925026621384165,5.361557896062194,3.405753985766557
611229025,132,HIP 3821 A,33,1,2,2,1,0,1,307.0363824634959,25.260678933550725,0.3728546451881133,11.343980410706246,3.405753985766557
611229025,167,HIP 19849,156,0,1,1,1,0,1,176.16517494034844,23.736913427493338,0.34901908309437923,5.362894713758442,4.258023487803837
611229025,184,HIP 120005,884,0,1,1,1,0,1,47.78542043985364,21.277684390469535,0.6514091777819592,5.365503347152129,6.502481083732912
611229025,234,HIP 29295,230,0,2,2,1,0,1,31.76011318785538,24.39935888636571,0.0366246077072535,5.865622447618976,6.682961097489043
611229025,234,HIP 29295,230,1,2,2,1,0,1,49.1778265450304,23.11276919038282,0.17205839789840818,5.364071251682887,6.682961097489043
611229025,302,HIP 24186,188,0,1,1,1,0,1,36.84782236493647,20.87333062625056,0.35118290386401624,5.3616224920998246,7.790883786979334
611229025,327,HIP 54211,395,0,1,1,1,0,1,37.65227253462849,23.066748263328698,0.09656255747746387,5.3639856841824995,7.510606357151514
620359564,76,HIP 114046,846,0,1,1,1,0,1,56.11469502788043,20.37303336707493,0.7104541005523181,5.360824311864723,5.90421924023849
620359564,124,HIP 72659 A,532,0,1,1,1,0,1,159.00957534647478,24.33776611242967,0.3268301452194184,5.3625031411974575,4.453865077728178
620359564,148,HIP 99461,744,0,3,3,1,0,1,83.16064492788493,24.57348444566952,0.1411985512202526,5.362832536744763,5.106477281658149
620359564,148,HIP 99461,744,1,3,3,1,0,1,75.89318930179869,24.41608730472277,0.10221540215408761,8.353286219745351,5.106477281658149
620359564,148,HIP 99461,744,2,3,3,1,0,1,70.2788473413722,21.886756705054236,0.6615538287753557,11.95479142128229,5.106477281658149
620359564,178,HIP 84478,621,0,1,1,1,0,1,85.95198878494206,23.183419608810233,0.33815964809494586,5.35983643994423,5.6922848720029355
620359564,188,HIP 57443,419,0,1,1,1,0,1,88.87715917315502,26.560696844557334,0.09238625735982782,5.361134061295661,4.817408477159228
620359564,203,HIP 56997,417,0,2,1,1,0,1,94.57815830903354,24.376463060234972,0.7757760292994279,5.356606997837188,5.211333546735588
620359564,203,HIP 56997,417,1,2,1,0,0,1,97.93307523192748,25.87233738472172,0.17076518041495745,0.0,5.211333546735588
620359564,205,HIP 27072,214,0,1,1,1,0,1,104.02355980273542,24.49838618418296,0.8714775131637138,5.361512571233281,3.585072990740137
620359564,207,HIP 15371,122,0,1,1,1,0,1,116.29824923177034,25.483941803324257,0.1966305021388237,5.3604445766105995,5.199235074936293
620359564,253,HIP 2021,21,0,1,1,1,0,1,319.70135092464346,26.096415061028054,0.5205949272034187,5.36084831752844,2.773189827195857
620359564,287,HIP 117712,877,0,1,1,1,0,1,66.76107717042657,23.562641846953753,0.5609043177351061,5.361008561658505,6.037477881212627
631110355,75,HIP 114622,854,0,2,2,1,0,1,105.99007679519933,24.44867063840681,0.1395413871446024,18.88582779674636,5.179484507035655
631110355,75,HIP 114622,854,1,2,2,1,0,1,86.11891958244621,23.982378591043755,0.7415420881209555,5.360071053506123,5.179484507035655
631110355,112,HIP 7751 B,61,0,1,1,1,0,1,98.18226049495242,24.65276035056833,0.26390535904823514,5.361726943428212,5.467336472693603
631110355,208,HIP 23693,184,0,1,1,1,0,1,66.46878699958148,24.70324022013095,0.92303978993851,5.35995834418866,4.692827824719031
631110355,209,HIP 113283,836,0,1,1,1,0,1,83.4377656540667,23.482397804141506,0.24936433113124074,5.356322634363002,5.984348294692912
631110355,227,HIP 22449,176,0,1,1,1,0,1,84.8932029656109,24.87342626464725,0.9402227659913438,5.358880993459242,3.1715645368111964
631110355,236,HIP 99240,740,0,1,1,1,0,1,205.9661270740582,25.708792451232117,0.29427504111695785,5.361738278539826,3.4505769487950566
631110355,254,HIP 25878,204,0,1,1,1,0,1,46.01678726802391,21.94389268917593,0.48574164786988355,5.36189300137545,6.488996578519452
631110355,256,HIP 14632,114,0,1,1,1,0,1,149.43404378862175,25.255559096487058,0.6313517293958949,5.360342265025039,4.011923046957373
631110355,279,HIP 120005,884,0,1,1,1,0,1,32.833839021076315,21.01739392316439,0.7400571115701842,5.361047190007371,6.502481083732912
634442216,99,HIP 1475,13,0,2,2,1,0,1,56.36945071088716,21.003987770121228,0.4733935179959934,5.358209554427016,6.840766091401013
634442216,99,HIP 1475,13,1,2,2,1,0,1,38.75407936117734,20.08286482669562,0.2931951231580179,5.6681116585658335,6.840766091401013
634442216,105,HIP 19849,156,0,1,1,1,0,1,184.23209274405798,24.47495229956801,0.29936127735830426,5.358404933514111,4.258023487803837
634442216,139,HIP 7751 B,61,0,1,1,1,0,1,84.48921602899023,23.50670066989405,0.6757870005915743,5.361715233992883,5.467336472693603
634442216,155,HIP 96100,702,0,1,1,1,0,1,150.89061959046,24.62230198546317,0.4121211935637224,5.361672750163566,4.519707532232684
634442216,172,HIP 8102,66,0,1,1,1,0,1,238.42430447822287,24.02598757991973,0.7304033533302488,5.364900607179863,3.351455963195376
634442216,177,HIP 72659 A,532,0,1,1,1,0,1,106.31963145666153,24.430315263063925,0.8290579317070369,5.360906156668985,4.453865077728178
634442216,185,HIP 88601 A,654,0,1,1,1,0,1,204.89713565512812,24.89388585572362,0.3645435048139481,5.361830789262222,3.786578598724091
634442216,200,HIP 23311,181,0,1,1,1,0,1,69.37662842488054,23.705895092804646,0.3502020192154528,5.35779972910109,5.83728763823916
634442216,205,HIP 15371,122,0,1,1,1,0,1,132.999800140869,24.87752744529423,0.45085653047491314,5.360747322419375,5.199235074936293
634442216,298,HIP 47080,358,0,1,1,1,0,1,49.548792996425156,23.86139248290703,0.8810881116657193,5.360090529209806,5.285255009152942
64295535,122,HIP 7751 B,61,0,1,1,1,0,1,62.99255009993856,22.51404564740848,0.7041184549123407,5.361824552632149,5.467336472693603
64295535,130,HIP 84478,621,0,1,1,1,0,1,70.95240213203573,22.798670952192232,0.2659670790958894,5.364808446543853,5.6922848720029355
64295535,177,HIP 113283,836,0,1,1,1,0,1,51.40538498424096,24.386647258131152,0.11952325911881054,5.358894367022741,5.984348294692912
64295535,181,HIP 57443,419,0,1,1,1,0,1,128.96912784641282,24.485233859311222,0.5950965875021379,5.361923319552599,4.817408477159228
64295535,199,HIP 32984,258,0,1,1,1,0,1,71.76499883462166,22.992642409530664,0.40406122283026563,5.361568744778359,6.079562670759302
64295535,201,HIP 64924,474,0,1,1,1,0,1,135.9142052846917,25.095911884638646,0.320556348515989,5.354988674526016,4.64357069183922
64295535,202,HIP 17378,135,0,1,1,1,0,1,271.3705846523045,26.632884891518458,0.2732386500324775,5.361883192983196,3.2917674001984696
64295535,224,HIP 439,2,0,1,1,1,0,1,39.13339143613956,23.065635492711994,0.08834654099759315,5.361271484028901,7.264873658402601
64295535,272,HIP 78072,567,0,2,1,0,0,1,217.25576176832965,27.7251735506101,0.21754861703500347,0.0,3.8469017683707856
64295535,272,HIP 78072,567,1,2,1,1,0,1,102.01430418835483,25.50080995748334,0.8662075250375364,5.358217562038983,3.8469017683707856
64295535,285,HIP 14632,114,0,1,1,1,0,1,115.74291891740602,25.70737145226166,0.8729163023658401,5.358015283303091,4.011923046957373
649011391,71,HIP 114046,846,0,1,1,1,0,1,77.51116740918161,21.131951364191423,0.32593498850611147,5.360954572319762,5.90421924023849
649011391,116,HIP 84478,621,0,1,1,1,0,1,64.13881318358597,22.701767764854594,0.7410663740508534,5.362240276433001,5.6922848720029355
649011391,141,HIP 105090,777,0,1,1,1,0,1,79.32536724850262,21.954094335749655,0.5608774777027133,5.362451927108045,5.555260510652442
649011391,145,HIP 99461,744,0,1,1,1,0,1,89.63300872595352,23.97034735205219,0.3122763482604764,5.36281904137348,5.106477281658149
649011391,181,HIP 113283,836,0,1,1,1,0,1,90.77926019279262,23.425241754100302,0.4228110283630129,5.356878162177617,5.984348294692912
649011391,185,HIP 56452,413,0,1,1,1,0,1,133.35609000845628,24.560345839515023,0.4092684967441086,5.361803242451235,5.251310237634866
649011391,189,HIP 29271,229,0,1,1,1,0,1,82.60134614817446,25.83694028050836,0.14779560930347332,5.361201306455051,4.975397378006853
649011391,215,HIP 120005,884,0,1,1,1,0,1,44.14356913205916,20.963972818042542,0.6949764618860909,5.362788734051623,6.502481083732912
649011391,227,HIP 8362,67,0,1,1,1,0,1,11.077240794889496,22.53810070593449,0.9889941577135327,5.361108768090924,5.494240629032481
649011391,248,HIP 84720 A,625,0,1,1,1,0,1,129.09460875225182,24.436755774054795,0.478838753907067,5.357940604857578,5.262405001663845
649011391,252,HIP 12777,98,0,1,1,1,0,1,184.85001410633683,25.367708541431547,0.6569038670649029,5.356849698217492,4.102937406722463
649011391,284,HIP 88972,659,0,1,1,1,0,1,67.15910102998352,23.306767855721546,0.7071407074872356,5.361501712414186,6.150151720660613
667469616,80,HIP 54035,394,0,1,1,1,0,1,47.673934792255984,19.726349671550967,0.6017357130099448,5.362199259093199,6.101593593939738
667469616,172,HIP 12114,92,0,1,1,1,0,1,82.13338173762249,22.902213147869084,0.6962684453235618,5.365768920592736,5.454627226464112
667469616,183,HIP 29295,230,0,1,1,1,0,1,42.46315282279188,21.894488043707693,0.785386667363477,5.364567244014713,6.682961097489043
667469616,200,HIP 99240,740,0,1,1,1,0,1,303.3088200880387,25.53600815826309,0.33232354398699954,5.361352613114329,3.4505769487950566
667469616,230,HIP 14632,114,0,2,2,1,0,1,157.12635035499648,27.246036454987728,0.14108033587867455,5.7224399639657335,4.011923046957373
667469616,230,HIP 14632,114,1,2,2,1,0,1,236.02638844523128,26.607675950112714,0.39450076922036476,5.361258395393217,4.011923046957373
667469616,238,HIP 15457,124,0,1,1,1,0,1,105.50558206088421,24.478145331289042,0.7901790238251809,5.3565733311726795,4.773524298293736
667469616,262,HIP 84405 B,620,0,1,1,1,0,1,102.023685127467,23.757083571782825,0.716966757075902,5.3607313698131565,4.10546210179961
668276647,65,HIP 54035,394,0,1,1,1,0,1,57.263312920825605,19.871027396295684,0.66408174590509,5.361743274911979,6.101593593939738
668276647,79,HIP 104214,771,0,1,1,1,0,1,83.01941206431322,21.173366225869078,0.6832378064327203,5.361602192756858,4.765481840984286
668276647,91,HIP 49908,369,0,2,2,1,0,1,75.1394960988969,22.6440863176052,0.20711682884589935,6.8307729962251535,5.66416309317761
668276647,91,HIP 49908,369,1,2,2,1,0,1,57.75120187353285,24.02103038830626,0.0717443846754689,5.362526671765244,5.66416309317761
668276647,161,HIP 10644,86,0,1,1,1,0,1,154.55066557282464,25.199207966791633,0.5059431016798226,5.360551266076335,4.786130378462474
668276647,182,HIP 45343,344,0,1,1,1,0,1,52.79084368649308,22.038985276586153,0.6253119647831948,5.362651010097959,6.502481083732912
668276647,189,HIP 57443,419,0,1,1,1,0,1,134.74679257667958,25.41022712919895,0.39068170603428826,5.359703064418296,4.817408477159228
668276647,192,HIP 1599,16,0,1,1,1,0,1,143.3589490890403,25.56042270233849,0.17476555802263616,5.361895368724264,4.190336716738497
668276647,194,HIP 27072,214,0,1,1,1,0,1,242.75325742258696,26.31394701139194,0.22570740809925804,5.362126112805877,3.585072990740137
668276647,214,HIP 99825,747,0,1,1,1,0,1,46.11409031216802,22.424031586573015,0.8103048308539573,5.357720549330513,5.5212652941896225
668276647,217,HIP 8362,67,0,1,1,1,0,1,71.05576939275628,24.00154075774379,0.28781061219652043,5.36263014610859,5.494240629032481
668276647,221,HIP 88601 A,654,0,1,1,1,0,1,65.12665612106224,24.565624549239615,0.9601848231807352,5.361367802885168,3.786578598724091
668276647,245,HIP 26779,211,0,1,1,1,0,1,72.66917650687681,25.633112605197827,0.16360550895211595,5.359719677734527,6.028566823185697
668276647,293,HIP 67155,489,0,1,1,1,0,1,36.21456583358397,20.43797193874713,0.6618657661080578,5.363181473631694,6.990836347212941
672884347,114,HIP 96100,702,0,1,1,1,0,1,107.06328846226657,23.661223756080723,0.6545697037370092,5.361348779793762,4.519707532232684
672884347,158,HIP 7981,64,0,2,2,1,0,1,133.5255865917279,25.182388492421836,0.1694927157194292,9.78850816306082,5.03373023616421
672884347,158,HIP 7981,64,1,2,2,1,0,1,98.95287303484189,24.46397864049199,0.4769059286882535,5.362253431637416,5.03373023616421
672884347,198,HIP 3765,32,0,1,1,1,0,1,44.53546101262422,22.202969474239044,0.8204900919255607,5.36113834707133,5.497978226942308
672884347,200,HIP 8102,66,0,1,1,1,0,1,144.95620464325322,24.521867263586316,0.8895742506110437,5.361710637011937,3.351455963195376
672884347,226,HIP 23311,181,0,1,1,1,0,1,67.88991374460801,24.334933121824236,0.25125523394511523,5.3607708708913515,5.83728763823916
672884347,248,HIP 2021,21,0,1,1,1,0,1,269.50067373113563,26.253628284091604,0.4585490070909739,5.361401171862675,2.773189827195857
694807061,156,HIP 113283,836,0,2,2,1,0,1,17.543465779173026,27.922860222602385,0.003253439074486501,5.362972315556973,5.984348294692912
694807061,156,HIP 113283,836,1,2,2,1,0,1,33.82990982926068,22.110839167371438,0.8986344132036094,7.1140891966322055,5.984348294692912
694807061,160,HIP 3765,32,0,1,1,1,0,1,83.59688569600077,23.187700005379902,0.3601873658222642,5.369583126182309,5.497978226942308
694807061,163,HIP 84478,621,0,1,1,1,0,1,66.55351216743293,22.69294474308786,0.6727361831790737,5.359190917193438,5.6922848720029355
694807061,175,HIP 15510,125,0,1,1,1,0,1,58.63586818950937,24.468150899785318,0.9655540974445075,5.360807829282213,4.138061966262521
694807061,193,HIP 84405 B,620,0,1,1,1,0,1,68.37734326015236,23.601547844592808,0.9009379867492305,5.361685806145519,4.10546210179961
694807061,199,HIP 120005,884,0,1,1,1,0,1,46.72405286911587,21.24848122332176,0.6813824420480312,5.361525822114012,6.502481083732912
694807061,221,HIP 56997,417,0,1,1,1,0,1,126.85927793872244,24.6970554962927,0.4511102397646942,5.360173739918773,5.211333546735588
694807061,242,HIP 29295,230,0,1,1,1,0,1,40.49036698029059,21.8812263880901,0.21917826635462026,5.361524821158067,6.682961097489043
